prod_ID,good ID,revenue,salaries paid,assets spending,income,dividends,retained,no-cash assets value,cash,units sold,units offered,price exp,time
4,apple,1151.2228649632243,469.29940967528444,0,681.9234552879399,306.8655548795729,375.05790040836695,0.0,8173.844006031383,35,35,34.53668594889673,17
5,apple,547.1494783919276,238.91427982128275,0,308.2351985706448,138.70583935679016,169.52935921385463,2310.3586556679015,11080.997769822954,14,35,35.590233621468045,17
6,apple,281.21932602638384,447.3313636420744,0,-166.11203761569055,0,-166.11203761569055,1802.5299701503204,10259.963103749962,7,36,35.28813936624508,17
7,apple,355.03886481057395,659.7252474794055,0,-304.6863826688316,0,-304.6863826688316,2513.6621763371613,10082.740104254735,9,45,34.66059771198236,17
8,apple,1621.3684914748492,544.2024340459018,0,1077.1660574289474,484.7247258430263,592.441331585921,1013.2259117619308,9426.36904170754,44,44,38.69174809201343,17
9,apple,1691.171772810312,470.69970862906297,0,1220.472064181249,549.212428881562,671.2596352996869,1458.0707195558493,10439.902289728561,45,45,39.460674698907305,17
10,art,352.8057951453338,0,149.79054077264354,203.01525437269024,91.35686446771061,111.65838990497963,179.65853575337192,5905.173376484253,4,4,92.61152122565012,17
11,art,266.6510006183593,0,111.63345163586686,155.01754898249246,69.75789704212161,85.25965194037084,174.78127020015236,5517.765946645509,3,3,93.32785021642576,17
12,art,204.9475720778192,0,148.38635228231573,56.56121979550346,25.452548907976556,31.108670887526905,189.96560917688822,5196.479454272889,3,3,71.73165022723673,17
13,art,175.88620140596743,0,140.25741359378145,35.628787812185976,16.032954515483688,19.59583329670229,183.92770035849438,5292.70305634502,4,4,46.17012786906645,17
14,art,112.96541549535331,0,143.1198097895729,-30.1543942942196,0,-30.1543942942196,189.7572384539557,5536.21573009394,3,3,39.537895423373655,17
15,art,224.02183165142176,0,152.3150610583267,71.70677059309506,32.26804676689277,39.438723826202285,189.96560917688822,5428.41822340265,3,3,78.40764107799762,17
16,art,284.8442192121409,0,143.62965339061833,141.21456582152257,63.54655461968515,77.66801120183742,157.67514251816505,5528.5589141250775,4,4,74.77160754318699,17
